Subsystem,Item,Spec / Part,Qty Required,On Hand,Need,Status,Unit $,Vendor / Link (Amazon),Notes
Power & Charging,Battery,DC HOUSE 12V 30Ah LiFePO4 (2-pack),1,,,selected,$139.99 /2-pack,https://www.amazon.com/dp/B0DHZPPKQS,2-pack covers both stations. Was spec'd 40Ah
Power & Charging,Battery (alt),"12V 20Ah LiFePO4, built-in 20A BMS",0,,,searching,,https://www.amazon.com/dp/B0CY1RWLXR,Smaller alternative (not counted)
Power & Charging,AC charger,"ECO-WORTHY 12V 10A (Lead/LiFePO4), LCD",1,,,selected,$64.99,https://www.amazon.com/dp/B09ZQFDRZN,Generator-fed
Power & Charging,AC charger (alt),"ECO-WORTHY 12V 5A, LCD",0,,,searching,$45.99,https://www.amazon.com/dp/B08T95FF8K,Slower alternative (not counted)
Power & Charging,Battery monitor,"Gasedin mini LED voltmeter (2-pack, green)",1,,,selected,$8.99 /2-pack,https://www.amazon.com/dp/B0F4XGZVSP,Voltage-only (not coulomb)
Power & Charging,Battery monitor (alt),"Gasedin voltmeter (2-pack, red)",0,,,searching,$8.54 /2-pack,https://www.amazon.com/dp/B0F4XBGJMV,Color variant (not counted)
Power & Charging,Controller 5V supply,MELIFE LM2596 12V->5V buck (2-pack),1,,,selected,see listing,https://www.amazon.com/dp/B08977C9YM,For 5V into PaHub (see open decision)
Power & Charging,Solar panel,50 W 12V,1,,,searching,,,Not on list yet
Power & Charging,Solar charge controller,12V MPPT/PWM,1,,,searching,,,Size to panel
Protection & Distribution,Main breaker,Bolipoeq 30A manual-reset (4-pack),1,,,selected,$29.99 /4-pack,https://www.amazon.com/dp/B0DHCGYGJM,Main disconnect; IP67
Protection & Distribution,Fuse block,"DaierTek 12-way ATO/ATC, LED, waterproof",1,,,selected,$15.99,https://www.amazon.com/dp/B0CGT91KTR,Fused branch distribution
Protection & Distribution,Busbar,"RVBOATPAT 150A 1/4"" stud marine busbar",1,,,selected,$16.99,https://www.amazon.com/dp/B0CF1N8FM8,Negative / common bus
Protection & Distribution,Fuses,ATO/ATC assortment (15/10/5/3-5A),0,,,searching,,,See Wiring.md
Pump & Plumbing,Pump,"SEAFLO 42-Series 12V, 3.0 GPM, 55 PSI",1,,,selected,$64.99,https://www.amazon.com/dp/B01CQ7DD0S,UL listed; self-priming
Pump & Plumbing,Pump (alt),"USA Adventure Gear 3200, 3.2 GPM 55 PSI 8A",0,,,searching,,https://www.amazon.com/dp/B07BVSD4PF,Alternative pump (not counted)
Pump & Plumbing,Accumulator,"SEAFLO 0.75 L, 125 PSI",1,,,selected,$35.99,https://www.amazon.com/dp/B01MUYL8F8,Smooths cycling
Pump & Plumbing,Inline strainer,"Shurflo 255-213 1/2"" for 2088 pumps",1,,,selected,$7.95,https://www.amazon.com/dp/B00IU0N5ZO,Pump-inlet filter
Pump & Plumbing,Water filter (opt),Waterdrop 10UA under-sink,0,,,searching,$43.99,https://www.amazon.com/dp/B083NPW1DN,Optional fine filter
Pump & Plumbing,Water heater,"CAMPLUX tankless propane, 1.58 GPM, 41k BTU",1,,,selected,$179.99,https://www.amazon.com/dp/B097JTWBGH,Propane not 12V - see note
